case_id,equipment_type,equipment_id,location,complaint,symptoms,previous_action,root_cause,resolution,cost,repair_time,urgency,technician_notes,status
CASE-0067,AC,AC-01,Computer Science Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0068,Elevator,ELEVATOR-05,Hostel Block B,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0069,Elevator,ELEVATOR-10,Administrative Block,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0070,Elevator,ELEVATOR-03,Hostel Block A,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0071,Elevator,ELEVATOR-09,Administrative Block,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0072,Water Pump,WATER-PUMP-14,Library,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0073,Elevator,ELEVATOR-17,Hostel Block B,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0074,Generator,GENERATOR-06,Engineering Block,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0075,Generator,GENERATOR-12,Hostel Block A,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0076,AC,AC-12,Library,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0077,Water Pump,WATER-PUMP-01,Administrative Block,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0078,Elevator,ELEVATOR-16,Computer Science Block,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0079,AC,AC-09,Library,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0080,Water Pump,WATER-PUMP-03,Hostel Block A,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0081,AC,AC-01,Administrative Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0082,AC,AC-11,Hostel Block B,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0083,Generator,GENERATOR-14,Engineering Block,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0084,AC,AC-16,Hostel Block A,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0085,AC,AC-02,Hostel Block B,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0086,Generator,GENERATOR-04,Hostel Block B,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0087,Generator,GENERATOR-15,Hostel Block B,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0088,Generator,GENERATOR-17,Engineering Block,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0089,Water Pump,WATER-PUMP-04,Administrative Block,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0090,Elevator,ELEVATOR-07,Library,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0091,AC,AC-05,Main Auditorium,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0092,AC,AC-05,Main Auditorium,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0093,Generator,GENERATOR-02,Hostel Block B,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0094,Generator,GENERATOR-08,Laboratory Building,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0095,AC,AC-16,Administrative Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0096,Water Pump,WATER-PUMP-12,Main Auditorium,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0097,Elevator,ELEVATOR-12,Main Auditorium,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0098,Water Pump,WATER-PUMP-20,Main Auditorium,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0099,Water Pump,WATER-PUMP-01,Hostel Block B,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0100,AC,AC-08,Administrative Block,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0101,Water Pump,WATER-PUMP-18,Library,Water pump is not working,Pump does not start when switched on,Checked power supply and control switch,Electrical connection failure,Repaired the electrical connection,1200,1.5 hours,High,Pump started normally after electrical repair,Resolved
CASE-0102,Generator,GENERATOR-07,Laboratory Building,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0103,AC,AC-11,Administrative Block,AC is not cooling properly,Room remains warm even after running AC for 30 minutes,Checked thermostat and cleaned outer unit,Clogged air filter,Cleaned and replaced the air filter,500,1 hour,Medium,Airflow improved after filter replacement,Resolved
CASE-0104,Water Pump,WATER-PUMP-19,Library,Water pump making loud noise,Grinding sound while pump is running,Inspected pump motor and bearings,Worn motor bearing,Replaced the damaged bearing,1800,2 hours,Medium,Noise disappeared after bearing replacement,Resolved
CASE-0105,Water Pump,WATER-PUMP-07,Hostel Block A,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0106,Water Pump,WATER-PUMP-02,Hostel Block A,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0107,Elevator,ELEVATOR-02,Engineering Block,Elevator stops between floors,Elevator stops unexpectedly before reaching the selected floor,Checked control panel and safety circuit,Faulty door interlock sensor,Replaced the faulty door interlock sensor,4500,3 hours,Critical,Elevator tested across multiple floors after repair,Resolved
CASE-0108,AC,AC-06,Computer Science Block,AC leaking water,Water dripping from indoor AC unit,Checked drain pipe,Blocked condensate drain,Flushed and cleaned the condensate drain pipe,600,1 hour,High,Drainage restored after cleaning,Resolved
CASE-0109,Generator,GENERATOR-17,Administrative Block,Generator producing unusual vibration,Strong vibration and abnormal sound during operation,Inspected engine mounting,Loose engine mounting bolts,Tightened engine mounting bolts,1000,1 hour,Medium,Vibration reduced significantly after tightening,Resolved
CASE-0110,AC,AC-11,Hostel Block B,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0111,Generator,GENERATOR-20,Administrative Block,Generator shuts down during operation,Generator stops after running for several minutes,Checked fuel supply and engine temperature,Engine overheating,Cleaned cooling system and checked coolant level,2500,2 hours,High,Temperature returned to normal after cooling system service,Resolved
CASE-0112,Elevator,ELEVATOR-07,Library,Elevator doors are not closing,Doors remain open or repeatedly reopen,Checked door sensor and tracks,Dirty door sensor,Cleaned and recalibrated the door sensor,900,1 hour,High,Doors operated normally after sensor cleaning,Resolved
CASE-0113,Water Pump,WATER-PUMP-16,Laboratory Building,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
CASE-0114,AC,AC-07,Laboratory Building,AC making unusual noise,Loud rattling noise from indoor unit,Inspected indoor unit and fan,Loose fan component,Tightened fan assembly and checked mounting,800,1.5 hours,Medium,Noise stopped after tightening the fan assembly,Resolved
CASE-0115,Elevator,ELEVATOR-20,Laboratory Building,Elevator making unusual noise,Grinding noise while elevator is moving,Inspected guide rails and moving components,Insufficient rail lubrication,Lubricated guide rails and checked alignment,1500,2 hours,Medium,Noise reduced after lubrication,Resolved
CASE-0116,Generator,GENERATOR-09,Administrative Block,Generator is not starting,Generator cranks but does not start,Checked fuel level and battery,Weak battery,Charged and replaced the battery,3500,2 hours,High,Generator started normally after battery replacement,Resolved
CASE-0117,Water Pump,WATER-PUMP-14,Main Auditorium,Water pressure is very low,Pump runs but water flow is weak,Checked inlet pipe and valve,Clogged inlet filter,Cleaned the inlet filter,700,1 hour,Medium,Water pressure improved after filter cleaning,Resolved
